                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2969,                 3.3659,                 1.3644,                0.00646,                      1,                0.33143,                 0.2162,                  1.002,                 3.2617,                  1.052,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.0446,                 3.2008,                 1.1887,                0.00534,                      1,                0.45747,                0.31731,                0.93438,                 3.1612,                0.98565,             0.00011091,             0.00011091,             0.00011091
                      3,                 1.0447,                  2.695,                 1.1755,                0.00877,                0.51459,                0.47965,                0.29909,                 1.0046,                 2.9364,                0.99287,             0.00016522,             0.00016522,             0.00016522
                      4,                 1.0651,                 1.8307,                 1.1179,                      1,                0.32681,                0.50984,                0.36101,                0.97287,                 2.4444,                 0.9943,             0.00021292,             0.00021292,             0.00021292
                      5,                0.98719,                 1.4438,                 1.1061,                0.95083,                0.38095,                0.65223,                0.46383,                 1.0281,                 2.3207,                0.99058,             0.00025402,             0.00025402,             0.00025402
                      6,                0.92357,                  1.293,                 1.0414,                0.97074,                0.40476,                0.62266,                0.45022,                 1.0175,                 2.2942,                0.95022,             0.00028852,             0.00028852,             0.00028852
                      7,                0.94085,                 1.2992,                 1.0488,                      1,                0.38761,                0.56269,                0.37551,                  1.002,                 2.3349,                0.94989,             0.00031641,             0.00031641,             0.00031641
                      8,                0.92298,                 1.1757,                 1.0458,                      1,                 0.4102,                0.59214,                0.43449,                0.92044,                 2.3138,                 0.9243,             0.00033771,             0.00033771,             0.00033771
                      9,                0.92694,                 1.1566,                  1.057,                0.98703,                0.45238,                0.63722,                0.45768,                 0.9513,                 2.0726,                0.94284,              0.0003524,              0.0003524,              0.0003524
                     10,                0.87858,                 1.0643,                  1.003,                0.99195,                    0.5,                0.92254,                 0.6878,                0.97584,                  1.948,                0.97048,              0.0003605,              0.0003605,              0.0003605
                     11,                0.77961,                   1.45,                0.95991,                      1,                0.48069,                0.65889,                0.43321,                  1.053,                 2.1796,                0.99416,             0.00036199,             0.00036199,             0.00036199
                     12,                0.87718,                 1.4356,                0.97744,                      1,                0.40314,                0.62968,                0.38282,                 1.2255,                  2.358,                 1.0464,             0.00035688,             0.00035688,             0.00035688
                     13,                0.82967,                 1.3853,                0.94977,                0.97176,                0.39803,                0.95403,                0.66374,                 1.1532,                 2.2831,                 1.0104,             0.00034517,             0.00034517,             0.00034517
                     14,                0.79228,                 1.2172,                0.90788,                0.97311,                0.41915,                0.98977,                0.73373,                0.96775,                 2.1505,                0.94894,             0.00032686,             0.00032686,             0.00032686
                     15,                0.82389,                 1.2294,                0.94417,                0.95339,                0.46348,                0.98284,                0.75565,                0.87247,                  1.917,                0.94018,             0.00030194,             0.00030194,             0.00030194
                     16,                0.76329,                 1.1222,                 0.9001,                0.96335,                    0.5,                0.98864,                0.77241,                0.85537,                 1.8378,                0.94419,             0.00027043,             0.00027043,             0.00027043
                     17,                0.74046,                 1.0532,                0.95713,                0.95829,                    0.5,                0.98864,                0.74698,                0.86247,                 1.7829,                0.94174,             0.00023231,             0.00023231,             0.00023231
                     18,                  0.678,                 1.0805,                0.90854,                0.96338,                0.68511,                0.99295,                 0.7358,                0.90214,                 1.6943,                0.94413,              0.0001876,              0.0001876,              0.0001876
                     19,                0.71732,                0.99793,                0.89551,                0.97846,                0.83854,                  0.995,                0.73907,                0.89393,                 1.6439,                0.94301,             0.00013628,             0.00013628,             0.00013628
                     20,                0.66006,                 1.0491,                0.92429,                0.98301,                 0.9028,                  0.995,                0.74217,                 0.8871,                 1.5794,                0.94136,             7.8357e-05,             7.8357e-05,             7.8357e-05
